aa,Afar,Afaraf
nd,"Ndebele, North; North Ndebele",isiNdebele
ne,Nepali,नेपाली
ng,Ndonga,Owambo
nl,Dutch; Flemish,Nederlands; Vlaams
nn,"Norwegian Nynorsk; Nynorsk, Norwegian",Norsk nynorsk
no,Norwegian,Norsk
nr,"Ndebele, South; South Ndebele",isiNdebele
nv,Navajo; Navaho,Diné bizaad; Dinékʼehǰí
ny,Chichewa; Chewa; Nyanja,chiCheŵa; chinyanja
oc,Occitan (post 1500); Provençal,occitan; lenga dòc
oj,Ojibwa,ᐊᓂᔑᓈᐯᒧᐎᓐ
om,Oromo,Afaan Oromoo
or,Oriya,ଓଡ଼ିଆ
os,Ossetian; Ossetic,ирон æвзаг
pa,Panjabi; Punjabi,ਪੰਜਾਬੀ; پنجابی‎
pi,Pali,पाऴि
pl,Polish,język polski; polszczyzna
ps,Pushto; Pashto,پښتو
pt,Portuguese,português
qu,Quechua,Runa Simi; Kichwa
rm,Romansh,rumantsch grischun
rn,Rundi,Ikirundi
ro,Romanian; Moldavian; Moldovan,limba română
ru,Russian,русский язык
rw,Kinyarwanda,Ikinyarwanda
sa,Sanskrit,संस्कृतम्
sc,Sardinian,sardu
sd,Sindhi,सिन्धी; سنڌي، سندھی‎
se,Northern Sami,Davvisámegiella
sg,Sango,yângâ tî sängö
si,Sinhala; Sinhalese,සිංහල
sk,Slovak,slovenčina; slovenský jazyk
sl,Slovenian,slovenski jezik; slovenščina
sm,Samoan,gagana faa Samoa
sn,Shona,chiShona
so,Somali,Soomaaliga; af Soomaali
sq,Albanian,Shqip
sr,Serbian,српски језик
ss,Swati,SiSwati
st,"Sotho, Southern",Sesotho
su,Sundanese,Basa Sunda
sv,Swedish,Svenska
sw,Swahili,Kiswahili
ta,Tamil,தமிழ்
te,Telugu,తెలుగు
tg,Tajik,тоҷикӣ;toğikī;تاجیکی‎
th,Thai,ไทย
ti,Tigrinya,ትግርኛ
tk,Turkmen,Türkmen; Түркмен
tl,Tagalog,Wikang Tagalog; ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔
tn,Tswana,Setswana
to,Tonga (Tonga Islands),faka Tonga
tr,Turkish,Türkçe
ts,Tsonga,Xitsonga
tt,Tatar,татар теле; tatar tele
tw,Twi,Twi
ty,Tahitian,Reo Tahiti
ug,Uighur; Uyghur,Uyƣurqə; ئۇيغۇرچە‎
uk,Ukrainian,українська мова
ur,Urdu,اردو
uz,Uzbek,O‘zbek; Ўзбек; أۇزبېك‎
ve,Venda,Tshivenḓa
vi,Vietnamese,Tiếng Việt
vo,Volapük,Volapük
wa,Walloon,walon
wo,Wolof,Wollof
xh,Xhosa,isiXhosa
yi,Yiddish,ייִדיש
yo,Yoruba,Yorùbá
za,Zhuang; Chuang,Saɯ cueŋƅ; Saw cuengh
zh,Chinese,中文(Zhōngwén); 汉语; 漢語
zu,Zulu,isiZulu
